"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score"
"uza.uz","Lotar Matteus ""Oltin to‘p"" favoritlarini aytdi","https://uza.uz/uz/posts/lotar-matteus-oltin-top-favoritlarini-aytdi_885735","1","Lotar Matteus ""Oltin to‘p"" favoritlarini aytdi Menimcha, Usmon Dembelening imkoniyatlari yuqori. U PSJ bilan yana Chempionlar ligasida g‘olib chiqdi. Germaniya terma jamoasining sobiq yarim himoyachisi Lotar Matteus “Oltin to‘p” uchun asosiy da’vogarlar haqida fikr bildirdi. “Rodri JCH–2026ning eng yaxshi futbolchisi deb topildi. Ammo u rostdan ham turnirning eng yaxshisi bo‘ldimi? Odatda FIFA final tugashi bilanoq g‘olibni tanlaydi. Rodri jahon chempioni bo‘lgan Ispaniya terma jamoasida pleymeyker vazifasini bajardi. Ikki yil avval ham Yevroda shunday bo‘lgandi va u ”Oltin to‘p""ni qo‘lga kiritgan edi. Shunga qaramay, bu yil mukofot yana unga nasib etishiga ishonchim komil emas. Ispaniya juda jips jamoa sifatida harakat qildi.","100","736","11.2","5.38","0.348","0.445"
"uza.uz","Osiyo o‘yinlarining ayollar o‘rtasidagi musobaqasiga ham qur’a tashlandi","https://uza.uz/uz/posts/osiyo-oyinlarining-ayollar-ortasidagi-musobaqasiga-ham-qura-tashlandi_885780","1","Osiyo o‘yinlarining ayollar o‘rtasidagi musobaqasiga ham qur’a tashlandi Musobaqa Yaponiyaning Aichi va Nagoya shaharlarida bo‘lib o‘tadi. O‘zbekiston ayollar terma jamoasining Osiyo o‘yinlaridagi raqiblari ma’lum. Joriy yilning sentyabr-oktyabr oylarida Yaponiyada XX Osiyo o‘yinlari turniri bo‘lib o‘tadi. Ushbu musobaqada futbol bo‘yicha O‘zbekiston ayollar terma jamoasi ham ishtirok etadi. O‘tkazilgan qur’a natijalariga ko‘ra O‘zbekiston qizlari turnirning ""G"" guruhidan joy oldi. Guruhdan vakillarimizdan tashqari, Filippin, Xitoy hamda Gong Kong olimpiya terma jamoalari joy oldi. Musobaqa Yaponiyaning Aichi va Nagoya shaharlarida bo‘lib o‘tadi.","78","654","14.0","5.57","0.255","0.468"
"gazeta.uz","Тошкент ярим йилда 3,2 млн хорижий сайёҳни қабул қилди","https://www.gazeta.uz/uz/2026/07/23/toshkent-turizm/","1","2026 йилнинг дастлабки олти ойида Тошкент шаҳрига 3,2 млн нафар хорижий ва 4,1 млн нафар маҳаллий сайёҳ ташриф буюрди. Бу ҳақда пойтахт ҳокимлиги маълум қилди. Қайд этилишича, ушбу даврда туризм хизматлари экспорти 1,3 млрд АҚШ долларига етган. Сайёҳлар оқимининг ортиши натижасида шаҳарда 140 та янги жойлаштириш воситаси фойдаланишга топширилди. Улар орасида 31 та меҳмонхона, 83 та хостел, 16 та оилавий меҳмон уйи ҳамда 10 та бошқа турдаги жойлаштириш воситаси бор. Шунингдек, «Ўзбекистон бўйлаб саёҳат қил!» дастури доирасида 1,1 млн нафар Тошкент шаҳри аҳолиси республика бўйлаб саёҳат ва экскурсияларда иштирок этди. Йил бошидан буён пойтахтда 203 та янги туристик корхона ташкил этилди.","101","694","11.25","6.11","0.367","0.473"
"uza.uz","Osiyo o‘yinlarining erkaklar o‘rtasidagi futbol musobaqasiga qur’a tashlandi","https://uza.uz/uz/posts/osiyo-oyinlarining-erkaklar-ortasidagi-futbol-musobaqasiga-qura-tashlandi_885775","1","Osiyo o‘yinlarining erkaklar o‘rtasidagi futbol musobaqasiga qur’a tashlandi Musobaqa Yaponiyaning Aichi va Nagoya shaharlarida bo‘lib o‘tadi. O‘zbekiston olimpiya terma jamoasining Osiyo o‘yinlaridagi raqiblari ma’lum. Joriy yilning sentyabr-oktyabr oylarida Yaponiyada XX Osiyo o‘yinlari turniri bo‘lib o‘tadi. Ushbu musobaqada futbol bo‘yicha O‘zbekiston erkaklar terma jamoasi ham ishtirok etadi. O‘tkazilgan qur’a natijalariga ko‘ra O‘zbekiston U-23 terma jamoasi turnirning ""C"" guruhidan joy oldi. Guruhdan vakillarimizdan tashqari, Filippin, Quvayt hamda Vietnam olimpiya terma jamoalari joy oldi. Musobaqa Yaponiyaning Aichi va Nagoya shaharlarida bo‘lib o‘tadi.","79","670","14.14","5.64","0.273","0.477"
"gazeta.uz","Ўзбекистонда сўровда қатнашган қарз олувчиларнинг 61 фоизи қарзини ўз вақтида тўлашда қийналмоқда — МБ","https://www.gazeta.uz/uz/2026/07/22/loans/","5","Уларнинг 58 фоизида қўшимча даромад ойига 4 млн сўмдан камни ташкил этган. Тадқиқот натижалари сўров иштирокчиларининг жавобларига асосланган. Эслатиб ўтамиз, 2026 йил бошига келиб Ўзбекистонда микроқарз олувчилар сони 16%га ошиб, қарийб 2,7 млн кишига етди. Бир қарз олувчига тўғри келадиган шартномалар ўртача сони 1,7 дан 1,9 тага, ушбу сегментдаги қарз юки эса 40%гача ошди. Муаммоли микроқарзларнинг деярли ярми «шубҳали» ва «умидсиз» тоифага киритилган.","63","459","11.4","6.37","0.368","0.484"
"uza.uz","Синхрон сузувчиларимиз Осиё чемпиони","https://uza.uz/uz/posts/sinxron-suzuvchilarimiz-osiyo-chempioni_885758","2","Ўзбекистонлик синхрон сузувчиларнинг дуэти ҳакамлар томонидан 253.3141 балл билан баҳоланди ва бу уларни чемпионатнинг олтин медалларига эга чиқишини таъминлади. 2 ва 3-ўринларга Макпал Кальмурза/Даяна Джаманчалова (Қозоғистон) ҳамда Ёнг Жиа Йи/Ган Юе Тҳоонг (Малайзия) эга чиқди. Мусобақалар давом этмоқда. Т. Рўзиев, ЎзА","41","322","6.83","6.34","0.634","0.49"
"uza.uz","Lotar Matteus ""Oltin to‘p"" favoritlarini aytdi","https://uza.uz/uz/posts/lotar-matteus-oltin-top-favoritlarini-aytdi_885735","2","Shu sabab hozirning o‘zida g‘olibni aniq aytish qiyin. Menimcha, Usmon Dembelening imkoniyatlari yuqori. U PSJ bilan yana Chempionlar ligasida g‘olib chiqdi. Kilian Mbappe JCH–2026ning “Oltin butsa”sini qo‘lga kiritdi, ammo hozircha “Real” bilan sovrin yutmadi. Ochig‘i, agar mukofot unga berilsa, hayron qolardim. Yana bir nomzod — Maykl Olise. U “Bavariya” safida yorqin mavsum o‘tkazdi, Bundesliga va JCH–2026da assistlar bo‘yicha yetakchi bo‘ldi. Xarri Keyn bilan birgalikda klubga “oltin dubl”ni taqdim etdi va jamoasi bilan mundial yarim finaligacha yetib bordi"", — dedi Matteus Sky Sport Germany nashriga bergan intervyusida.","86","632","12.0","5.25","0.479","0.493"
"gazeta.uz","Президент Нурафшонда ҳарбий ва махсус техникалар ишлаб чиқарилиши билан танишди","https://www.gazeta.uz/uz/2026/07/22/krantas/","1","Ўзбекистон президенти Шавкат Мирзиёев 22 июль куни Нурафшон шаҳридаги «Нурафшон махсус техника» корхонасига ташриф буюрди. Бу ерда Krantas бренди остида махсус автомобиллар, ҳарбий техника ва турли механизмлар ишлаб чиқарилмоқда. Матбуот хизмати маълумотига кўра, корхона 50 миллион долларлик лойиҳа доирасида 25,8 гектар майдонда барпо этилган. Ҳозирда бу ерда 300 нафардан ортиқ малакали мутахассис ишламоқда. Ишлаб чиқариш учун зарур ускуналар ва технологиялар АҚШ, Германия, Италия, Швеция, Россия, Хитой ҳамда Туркиядан олиб келинган. Корхона фаолияти давомида қарийб 2,5 минг тонна металл конструкциялар, 300 дан ортиқ автомобиль устқурилмалари, 200 дан зиёд шасси ва 20 та трактор ишлаб чиқарган. Ўтган йили буюртмачиларга 275 миллиард сўмлик техника ва механизмлар етказиб берилган.","105","790","13.71","6.7","0.25","0.495"
"gazeta.uz","Ўзбекистонда сўровда қатнашган қарз олувчиларнинг 61 фоизи қарзини ўз вақтида тўлашда қийналмоқда — МБ","https://www.gazeta.uz/uz/2026/07/22/loans/","2","Аҳоли кредитларни нима учун олган? Кўпинча қарз маблағлари уй-жой сотиб олиш ёки таъмирлаш учун жалб қилинган — респондентларнинг 20 фоизи шу мақсадни кўрсатган. Яна 18 фоизи автомобиль сотиб олиш учун кредит олган. Кейинги ўринларда истеъмол товарларини харид қилиш, таълим, кундалик харажатлар, тадбиркорлик, даволаниш ва тўй ўтказиш мақсадлари қайд этилган. Қарз олувчиларнинг қарийб 8 фоизи мавжуд қарзларини тўлаш учун янги кредит олганини маълум қилган. Жами респондентларнинг 68 фоизида барча қарз мажбуриятлари бўйича ойлик тўлов миқдори 6 млн сўмдан кам суммани ташкил этмоқда. Марказий банк тақдим этган графикка кўра, ойига 2 млн сўмдан 4 млн сўмгача бўлган тўлов энг кенг тарқалган. Шу билан бирга, респондентларнинг 48 фоизи қарз мажбуриятлари бўйича тўлов муддати 3 йилдан кам қолаётганлигини билдиришган. Қарз мажбуриятлари бўйича қолган тўлов муддати 5 йил ва ундан ортиқ дея таъкидлаган респондентларнинг улуши 27 фоизни ташкил этган. 61 фоиз тўловларда қийинчиликка дуч келмоқда Респондентларнинг 61 фоизи қарз мажбуриятларини ўз вақтида қайтаришда қийинчиликларга дуч келаётганлигини маълум қилишган. Қолган 39 фоизи эса бундай муаммоларга дуч келмаётганини айтган.","162","1184","13.45","6.64","0.311","0.508"
"gazeta.uz","Ўзбекистонда Тошкент — Самарқанд пулли йўли қурилиши бошланди","https://www.gazeta.uz/uz/2026/07/22/tashkent-samarkand-road/","1","Ўзбекистонда қиймати деярли 2,2 миллиард долларга тенг бўлган янги Тошкент — Самарқанд пулли автомобиль йўли қурилиши бошланди. Йўл ишга туширилгач, шаҳарлар ўртасидаги йўл вақти 5 соатдан 2,5 соатгача қисқаради, дея маълум қилди президент Шавкат Мирзиёев. Давлат раҳбари 22 июль куни Тошкент вилоятининг Ўрта Чирчиқ туманида трасса қурилишига тамал таши қўйиш маросимида иштирок этди. Олти тасмали автомагистралнинг умумий узунлиги 282 км ни ташкил этади. Лойиҳа доирасида 92 та кўприк, 28 та йўлотказгич ва туннель туридаги 60 та ўтиш жойи қуриш режалаштирилган. Трассага оғир ва юқори тезликдаги транспорт ҳаракатига мўлжалланган монолит бетон қопламаси ётқизилади. Текислик участкаларида автомобиллар соатига 150 км гача тезликда ҳаракатланиши мумкин бўлади.","103","762","13.29","6.75","0.344","0.518"
