"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","8","Hozircha o‘sha Instagram. Bu ham bir kun yo‘q bo‘ladi. Hamma narsa aylanib kelaveradi. Endi qachon yo‘q bo‘ladi, uni Alloh biladi. O‘sha qo‘rqmaslik kerak. Allohning aytganini qilish kerak. Rizqni beraveradi. Vayndan keyin. O‘zi shunaqa chevar, shunaqa yo‘lini qilib qo‘yadi. Men oldin qo‘rqardim. Rostdan ham Allohni tanimasdan oldin men qo‘rqardim. Ertaga nima bo‘ladi, nima qilaman, och qolsak-chi, unaqa qilsak-chi, qayg‘uga botar edim. Hozir bitta ham qayg‘urmayman. Chunki Allohim bor. Mehribon.” “To‘rtta chaqaloq. To‘rt quti bo‘tqa” Fotima Nazarovaning fikrlariga Shahzoda Albayeva qo‘shimcha qildi. “Bizni hayot shunaqa tarbiyalab qo‘ydi-da. Biz och qolishdan yoki rizqimiz kelmay qolishidan qo‘rqmaydigan bo‘lib qoldik. Qo‘rqmayman. Qiyinchiliklar shunaqa qilib qo‘ydi desak ham bo‘ladi.","103","797","6.24","4.85","0.42","0.371"
"kun.uz","Qamchiq dovonida “Lasetti” yonib ketdi.","https://kun.uz/news/2026/07/11/qamchiq-dovonida-lasetti-yonib-ketdi-54bb8e","2","Hozirda yong‘in sababi va moddiy zarar miqdori aniqlanmoqda. Hodisa oqibatida tan jarohati olganlar yo‘q. Mavzuga oid 10:15 / 01.07.2026 Qamchiqda yonilg‘i tashuvchi maxsus avtomobil YTHga uchradi 14:06 / 11.06.2026 Qamchiq dovonida avtomobil jarlikka tushib ketdi 08:46 / 18.05.2026 Qamchiqda tog‘da adashgan 7 nafar fuqaro qutqarib qolindi 18:30 / 28.04.2026","49","360","3.64","6.03","0.525","0.396"
"kun.uz","Bektemir tumanida «zakladchik»lar qo‘lga olindi.","https://kun.uz/news/2026/07/11/bektemir-tumanida-zakladchiklar-qolga-olindi-5b0a3b","2","Mazkur holatlar yuzasidan jinoyat ishi qo‘zg‘atildi. Gumonlanuvchilarga nisbatan qamoqqa olish ehtiyot chorasi qo‘llanildi. Mavzuga oid 11:10 / 01.07.2026 Toshkentda Tracker va BYD ishtirokida YTH sodir bo‘ldi 18:59 / 09.05.2026 Toshkentda o‘yinchoq mashinada avtomobil yo‘lida harakatlangan bolaning otasi javobgarlikka tortildi 12:52 / 02.03.2026 Bektemir tumanida piyoda ishtirokida YTH sodir bo‘ldi 13:01 / 03.02.2026","52","421","4.27","6.32","0.489","0.405"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","7","Nima bo‘ladi keyin? Shu haqida o‘ylaganmisizlar deb so‘radik ulardan. “O‘ylaganman”, – deydi Shahzoda. “Aytaman-ku, birxillikdan zerikaman deb. Bu yo‘nalishdan ham zerikib qolmayman deb javob bera olmayman o‘zimga. Izlaganga yo‘l ko‘p. Xavotir olmaymiz. Rizq berguvchi Alloh. Bizning shiorimiz shu. Rizq Allohdan. Biz bu yo‘nalishda bo‘lamizmi, boshqa yo‘nalishda bo‘lamizmi, mana shu nonimiz keladi baribir. Qo‘rquv yo‘q. Yo‘q, yo‘q, umuman qo‘rqmaslik kerak”. “Vaynlar vaqtinchalik!” Fotima opa Siz nima deb o‘ylaysiz, vaynlarning umri qancha, qancha vaqtdan keyin vaynlarni xalq qabul qilmay qo‘yadi, sizningcha? “Menimcha, tegirmon navbati bilan deydi-ku. Bir mahallar kino zo‘r edi. Undan keyin seriallar zo‘r bo‘ldi. Serialdan keyin sekin-sekin komediya rivojlandi. Mana eng qisqasi vaynlar, endi odamlarning boshqasiga sabri qolmadi.","108","840","6.6","5.07","0.492","0.405"
"kun.uz","Argentina ham yarimfinalga chiqdi.","https://kun.uz/news/2026/07/12/argentina-ham-yarimfinalga-chiqdi","3","Mavzuga oid 14:50 / 11.07.2026 JCh anonsi. Holand Keynga qarshi, Argentinada ilk jiddiy raqib 10:18 / 08.07.2026 JCh kundaligi. Messida rekord va antirekord, Shveytsariya kuchli sakkizlikda 08:49 / 08.07.2026 Argentinada afsonaviy 13 daqiqa. Amaldagi chempionlar kambek qilishdi 17:30 / 07.07.2026","40","297","2.25","6.93","0.556","0.41"
"uza.uz","Xoland: “Angliyani mag‘lub etishga juda yaqin edik”","https://uza.uz/uz/posts/xoland-angliyani-maglub-etishga-juda-yaqin-edik_881722","2","Bugungi uchrashuv oldidan imkoniyatlarni 50 ga 50 deb baholagandim. Angliya juda kuchli jamoa va bahs ham juda og‘ir kechdi”, — dedi Xoland. Eslatib o‘tamiz, Angliya JCH–2026 yarim finalida Argentinaga qarshi maydonga tushadi. Ikkinchi yarim finalda esa Ispaniya va Fransiya o‘zaro kuch sinashadi.","42","297","10.5","5.62","0.262","0.415"
"kun.uz","Toshkent Osiyodagi yashash uchun eng qimmat shaharlar reytingida 74-o‘rinda qayd etildi.","https://kun.uz/news/2026/07/11/toshkent-osiyodagi-yashash-uchun-eng-qimmat-shaharlar-reytingida-74-orinda-qayd-etildi-68d46d","2","Hindistonning o‘ndan ortiq shaharlari esa 17,3-18,8 ball bilan eng arzon shaharlar sifatida qayd etilgan. Reytingni tuzishda Nyu-Yorkdagi yashash qiymati olingan bo‘lib, unga 100 ball berilgan. Undan yuqori har bir ball yashash narxining bir foizga qimmatligini, har bir past ball esa arzonligini bildiradi. Misol uchun, Tsyurixda yashash narxi Nyu-Yorkdagidan 23,4 foizga qimmat, Toshkentda esa 68,6 foizga arzon. Mazkur indeksni tuzishda uy-joy ijarasi, oziq-ovqat, restoranlar, xarid qilish salohiyati kabilar hisobga olingan. Mavzuga oid 08:40 / 09.07.2026 JSST Markaziy Osiyoni jazirama xavfidan ogohlantirdi 18:06 / 08.07.2026 Yevropa va Markaziy Osiyoda jazirama issiqning yangi to‘lqinlari kutilmoqda - JSST 12:11 / 06.07.2026 O‘zbekistonda birinchi Xalqaro islom forumi boshlanmoqda 19:35 / 05.07.2026","106","810","6.93","6.19","0.402","0.417"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","12","O‘shanda kommentariyaga yozadi, shaxsiy direktimga yozishadi, ayol-qizlar juda ko‘p muammolari bilan. Aytaman, har kimning hayotidagi vaziyat har xil. Holatlar o‘xshash bo‘lishi mumkin, lekin vaziyat boshqacha. Agar oilani ushlab qoladigan vaziyat bo‘lsa, u vaziyatda imkon boricha ushlab qolish kerak deyman.” To‘liq intervyuni quyidagi havola orqali tomosha qiling. Mavzuga oid 22:11 / 26.04.2026 “10 ming dollar taklif qilishdi, lekin rad etdim” - Nilufar Umrzoqova pul, prinsip va tanlovlar haqida 19:00 / 11.04.2026 “Vaynlar vaqtinchalik, bularning orqasida faqat pul yotibdi” - aktyor Mehriddin Rahmatov bilan suhbat 14:47 / 04.05.2025 “Inter Milan” klubi har qanday jamoa uchun boshog‘riq bo‘la oladi” – Orif Tolipov 19:25 / 20.04.2025","102","742","6.79","5.71","0.505","0.431"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","10","Hali kamchiliklari rosa ko‘p. Men bo‘lmasa, karta qo‘yinglar, menga yordam beringlar deganim yo‘q xalqqa. Shunchaki hayotimni gapirib berdim, xolos. Rahmi kelib, shunaqa yaxshi insonlar bor ekan. Keyin 5000 dollar yig‘ildi. Shu sabab bo‘ldi. 5000 dollarga betonini quydim. Keyin bu yog‘i yana xayr-ehson, reklamalar, barterlar, xullas uy bitdi. Men haqimda, mening oilam, bolalarim haqida yaxshi duoda bo‘lganlardan ilohim, Alloh rozi bo‘lsin, ikki dunyo saodatini bersin.” “Bir tiyinga olishmagan” “Xalqqa tanilmasimdan oldin, lekin rosa yerga urishgan, uni bilaman. Endi uni aytib o‘tirishim shart emas. Muqimiy teatrida ishlaganman. Ko‘p joylarda bo‘lganman. Bir tiyinga olishmagan. Ana endi hozir yuzaga chiqqandan keyin olishyapti, mayli. Shunaqa.","100","752","6.94","5.39","0.55","0.437"
"uza.uz","Tomas Tuxel: “Natijadan xursandman, ammo o‘yinimizdan emas”","https://uza.uz/uz/posts/tomas-tuxel-natijadan-xursandman-ammo-oyinimizdan-emas_881724","2","Bizda shunchalik kuchli xarakter borki, uni hatto shishaga quyib sotish ham mumkin. Ammo futbol sifati bundan ancha yuqori bo‘lishi shart. Ris Jeyms ajoyib o‘yin ko‘rsatdi. Morgan Rodjers ham juda yaxshi harakat qildi. Eberechi Eze va Jed Spens o‘yin davomida o‘zlarini ko‘rsatib, maqtovga loyiq bo‘ldi. Jud Bellingem haqida esa ortiqcha gapirishning hojati yo‘q. U deyarli har bir uchrashuvda shunday o‘ynayapti. U — jahon darajasidagi futbolchi. Yarim finalga qadar yanada kuchayishimiz kerak. Hozir esa bu muvaffaqiyatni nishonlash va undan zavq olish vaqti. Oldinda uch kunlik tayyorgarlik bor va bizga barcha kuchimiz kerak bo‘ladi"", — dedi Tuxel. Eslatib o‘tamiz, Angliya Norvegiyani Jud Bellingemning dubli evaziga 2:1 hisobida mag‘lub etdi. Yarim finalda inglizlar Argentina — Shveytsariya juftligi g‘olibiga qarshi maydonga tushadi.","117","841","9.69","5.46","0.397","0.438"
