"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score"
"wikipedia","Al-Qalam universiteti","https://uz.wikipedia.org/wiki/Al-Qalam_universiteti","3","Siyosatshunoslik MSc. Sotsiologiya Ph. D Buxgalteriya Ph. D Arab tili Ph. D Biznes boshqaruvi Ph. D Informatika Ph. D Iqtisodiyot Ph. D Ingliz tili Ph. D Islomshunoslik Ph. D Matematika Ph. D Siyosat Tuzatish IJMB Diplomgacha.","36","226","3.27","5.0","0.167","0.252"
"wikipedia","Al-Qalam universiteti","https://uz.wikipedia.org/wiki/Al-Qalam_universiteti","2","BA Xausa tili BA Arab tili BA Ingliz tili BA Islomshunoslik BSc. Biologiya fan BSc. Kimyo BSc. Fizika BSc. Matematika BSc. Kompyuter fanlari BA/Ed Arab tili BA/Ed Hausa tili BA/Ed Islomshunoslik BA/Ed Ingliz tili BA / Ed Matematika BA/Ed Fizika BA/Ed Kimyo BA / Ed Biologiya BA/Ed Geografiya BSc. Buxgalteriya hisobi (toʻliq va yarim kunlik) BSc. Biznes boshqaruvi (toʻliq va yarim kunlik) BSc. Iqtisodiyot (toʻliq va yarim kunlik) BSc. Siyosatshunoslik (kunduzgi va kunduzgi) BSc. Sotsiologiya (toʻliq va yarim kunlik) MA Arab MA Islomshunoslik MA Ingliz tili MBA MSc. Buxgalteriya hisobi MSc. Biznes boshqaruv MSc. Kompyuter fanlari MSc. Iqtisodiyot MSc. Matematika MSc.","101","672","6.62","5.07","0.104","0.289"
"wikipedia","Genetika","https://uz.wikipedia.org/wiki/Genetika","12","Bunday kolleksiyalar gʻoʻzaning monosom va translokatsion liniyalari boʻyicha ham barpo etilgan. Keyingi yillarda genetika sohasidagi tadqiqotlar Genetika va oʻsimliklar eksperimental biologiyasi institutit ham olib borildi. Gʻoʻza sitogenetikasi va seleksiyasi sohalaridagi tadqiqotlarning rivojlanishiga S. S. Kanash, L. Genetika Arutyunova, F. M. Mauyer, A. A. Abdullayev, A. I. Avtonomov, L. V. Rumshevich, S. M. Mirahmedov, S. S. Sodiqov, B. P. Straumal va boshqalar katta hissa qoʻshdi. N. N. Nazirov, O. J. Jalilov olib borgan tadqiqotlar asosida radiobiologiya, radiatsion seleksiyaning nazariy va amaliy asoslari ishlab chiqildi. Gʻoʻza mutagenezi sohasida bir qancha muhim tadqiqotlar olib borildi (Sh. I. Ibrohimov, A. E. Egamberdiyev va boshqalar).","100","760","3.33","6.18","0.3","0.329"
"wikipedia","Gubkin nomidagi Rossiya Davlat neft va gaz universitetining Toshkent filiali","https://uz.wikipedia.org/wiki/Gubkin_nomidagi_Rossiya_Davlat_neft_va_gaz_universitetining_Toshkent_filiali","4","I. M. Gubkin nomidagi Rossiya davlat neft va gaz universiteti (NRU) Toshkent shahridagi filiali va IP MCHJ „SANOAT ENERGETIKA GURUHI“ oʻrtasida oʻzaro anglashuv memorandumi. I. M. Gubkin nomidagi Rossiya davlat neft va gaz universiteti (NRU) Toshkent shahridagi filiali va Rossotrudnichestvoning Oʻzbekiston Respublikasidagi vakolatxonasi oʻrtasida hamkorlik memorandumi imzolandi.","47","381","7.83","6.87","0.128","0.37"
"wikipedia","Hikoya","https://uz.wikipedia.org/wiki/Hikoya","3","Soʻzlab berilgan bunday voqelik oʻz qamrovi, hajmi, rang-barangligi bilan qissa yoki romanga xos boʻlishi ham mumkin. Bunday hollarda bu atama janr maʼnosida tushunilmaydi. Masalan, Oʻ.Hoshimovning „Ikki eshik orasi“ romani 9 personajning 49 ta hikoyasidan tashkil topgan. Sh. Xolmirzayev „Olaboʻji“ asarini „romandan katta hikoya“ deb ataydi. Hozirgi oʻzbek hikoyachiligi O.Muxtor, N.Aminov, S.Siyoyev, F.Musajonov, X.Sultonov, E.Aʼzamov, N.Eshonqulov, Sh. Boʻtayev va boshqa yozuvchilar bilan boyidi. Hikoya inson hayotida yuz bergan ixcham voqeani loʻnda ifodalashga moʻljallangan. Unda shu voqeaga qadar personaj hayotida nima boʻlgan, qanday roʻy bergan, kim bilan – bular toʻgʻrisida maʼlumot berish shart emas. Juda zarur boʻlsa, ayrim detallar orqali ishora qilinishi mumkin.","101","783","5.94","5.99","0.346","0.379"
"wikipedia","Iqtisodiy statistika","https://uz.wikipedia.org/wiki/Iqtisodiy_statistika","3","Ay-rim hollarda matematik statistika usullaridan foydalaniladi. Oʻzbekistonda I.s. amaliyoti bilan alohida vazirlik — Makroiqtisodiyot va statistika vazirligi va uning viloyat, shahar va tuman boʻlimlari shugʻullanadi.","25","218","6.5","7.19","0.231","0.389"
"wikipedia","Kattatepa","https://uz.wikipedia.org/wiki/Kattatepa","1","Kattatepa — oʻrta asr shahar harobasi (7—XII asrlar). Sherobod (Surxondaryo viloyati)dan 7 km. jan.-gʻarbda joylashgan. Mayd. 20 ga. Surxondaryo viloyatidagi ilk oʻrta asrlarga oid eng yirik shahar harobasi hisoblanadi. K. 3 qism va raboddan iborat boʻlib, ularning barchasi mudofaa devori bilan oʻrab olingan. Bu yerdan VII asr oxiri — VIII asr 1-yarmiga oid sopol parchalari topilib, ularda Qurʼon oyatlari bitilgan. E. V. Rtveladzening fikricha, K. oʻrnida ilk oʻrta asrlarda Xushvarogʻ sh. joylashgan. Xushvarogʻ atrofi 3 qator mudofaa devorlari bilan oʻralgan yirik shahar boʻlib, arablar istilosidan avval Sheroboddaryo havzasidagi Kufton rustoqining markazi hisoblangan. 5—VIII asrlarda shaharning oʻz zarbxonasi boʻlib, faqat Sheroboddaryo havzasida muomalada boʻlgan kumush va mis tangalar zarb etilgan.","109","812","6.18","6.32","0.4","0.409"
"wikipedia","Degreztepa","https://uz.wikipedia.org/wiki/Degreztepa","1","Degreztepa — shahar harobasi (1 — 5—VIII asrlar). Surxondaryo viloyati Oltin-soy tumani Degrez suv omborining jan.-gʻarbida. Toʻgʻri toʻrtburchak tarxli. Mayd. 6 ga dan ortiq. Mudofaa devorlarining qoldiklari tepaliklar (eni 10 m, boʻyi 4 m) sifatida saqlanib qolgan. Burchaklar minoralar bilan himoyalangan. 3 ta darvozasi boʻlgan. Shahar arkining atrofi xandaq bilan oʻralgan. Kushonlar davri va ilk oʻrta asrlarga oid sopol idishlar topilgan.","61","445","5.09","6.38","0.464","0.412"
"wikipedia","Anatomiya","https://uz.wikipedia.org/wiki/Anatomiya","6","N. Xolqoʻziyev vegeta-tiv nerv sistemasi A. sini, N. K. Ahmedov periferik nerv sistemasiga rentgen nurlarining taʼsirini oʻrgandilar. Olimlardan S. Sh. Shahrbiddinov, A. T. Okdlov, F. N. Bahodirov, N. A. Ibodov, I. K. Qosimxoʻjayevlar ham Anatomiya rivojlanishiga munosib hissa qoʻshdilar. Hozir A.ning dolzarb masalalari — jigar, tomirlarning normal va regeneratsiya sharoitidagi oʻzgarishlari hamda nervlarning tiklanishi va periferik qon aylanishi ustida ilmiy izlanishlar olib borilmoqda. Boshqa boʻlimlar ichida, odam anatomiyasi eng kerakli anatomiya boʻlimi hisoblanadi. Tibbiyot nuqtai nazaridan, odam anatomiyasi sogʻlom insonning badan qismlarini shaklini, badanda joylashishini, katta-kichikligini va boshqa qismlar bilan aloqadorligini oʻrganuvchi boʻlimdir. Topografik anatomiyada bir qancha jasadlarni kesib, uni yaxshilab oʻrganiladi.","102","849","4.95","6.86","0.442","0.418"
"wikipedia","Abu Rayhon Beruniy","https://uz.wikipedia.org/wiki/Abu_Rayhon_Beruniy","4","Bu davrda Xorazmda oʻzgarishlar boʻlib, Maʼmun vafot etib, uning oʻrniga Ali ibn Maʼmun taxtga chiqqan edi. 997-yilda mashhur tabib Abu Ali Ibn Sino ham Urganchga keladi. 998-yil Beruniy Jurjonga keldi. U Jurjonda 1004-yilgacha yashaydi. Oʻzining oʻn beshga yaqin asarini shu yerda yaratdi. Jumladan, olimning „Qadimgi xalqlardan qolgan yodgorliklar“ asari 1000-yil atrofida shu yerda yozilgan. 1004-yilning bahorida Beruniy Xorazmga qaytdi. Bu vaqtda Xorazmning poytaxti Urganj edi. Urganchda u Oy tutilishini kuzatdi. Saroyda al-Masihiy, tabib al-Hammar, Ibn Iroq va boshqalar ishlar edilar. Urganjda Beruniy matematika, astronomiya bilan bir qatorda fizika va mineralogiyaning baʼzi masalalari bilan shugʻullandi. Minerallarni aniqlash, ularni tizimga solishda solishtirma ogʻirliklardan foydalanish gʻoyasi ham mana shu yerda tugʻildi. 1017-yilning yozida turkiy podsho Mahmud Gʻaznaviyning buyrugʻiga koʻra Beruniy asir sifatida Gʻaznaga olib ketildi.","122","956","9.54","6.31","0.258","0.419"
